"x","y","pop_250m_grid"
1746375,5421125,5.40983606557377
1746625,5421125,37.8688524590164
1746875,5421125,14.4262295081967
1747375,5421125,55.531914893617
1747625,5421125,136.841438703141
1747875,5421125,108.392857142857
1746875,5421375,34.2622950819672
1747125,5421375,18.9962611446649
1747375,5421375,198.000645320477
1747625,5421375,36.4741068924264
1747875,5421375,204.777568922306
1748125,5421375,72.7549707602339
1748625,5421375,29.7590361445783
1748875,5421375,68.3115560834889
1747125,5421625,123.924608015233
1747375,5421625,221.053315673065
1747625,5421625,169.821548552232
1747875,5421625,240.230560578662
1748125,5421625,195.919257107284
1748375,5421625,195.33315966569
1748625,5421625,59.0174783641609
1748875,5421625,141.375117370892
1749125,5421625,28.8888888888889
1749375,5421625,4.44444444444444
1749625,5421625,2.11009174311927
1749875,5421625,14.7706422018349
1752375,5421625,4.25531914893617
1752625,5421625,6.38297872340426
1742125,5421875,2.31884057971015
1742875,5421875,2.31884057971015
1747125,5421875,11.0344827586207
1747375,5421875,168.093669264439
1747625,5421875,256.058976438677
1747875,5421875,258.832293993547
1748125,5421875,254.612495128658
1748375,5421875,222.683493098478
1748625,5421875,178.782402089398
1748875,5421875,125.479646440516
1749125,5421875,104.637908496732
1749375,5421875,104.573964142232
1749625,5421875,4.22018348623853
1749875,5421875,61.1926605504587
1752625,5421875,53.1914893617021
1742625,5422125,2.31884057971015
1743125,5422125,2.31884057971015
1747125,5422125,53.7157589429584
1747375,5422125,60.3165023400614
1747625,5422125,173.180343104984
1747875,5422125,148.383509483648
1748125,5422125,291.347656416418
1748375,5422125,245.380654986411
1748625,5422125,199.539631167562
1748875,5422125,230.683879839732
1749125,5422125,90.2400165871864
1749375,5422125,8.44036697247706
1749625,5422125,170.728138427592
1749875,5422125,217.88363437577
1751625,5422125,16.5
1751875,5422125,68.6702127659574
1752375,5422125,41.7391304347826
1752625,5422125,39.7846705972827
1742625,5422375,2.31884057971015
1747125,5422375,41.1214953271028
1747375,5422375,120.645161290323
1747625,5422375,238.988111373582
1747875,5422375,49.3173821252639
1748125,5422375,177.075338009465
1748375,5422375,269.306805373556
1748625,5422375,180.083177278402
1748875,5422375,159.047975408098
1749125,5422375,192.9895155992
1749375,5422375,32.4486833920796
1749625,5422375,173.51231718087
1749875,5422375,94.5774248440159
1751375,5422375,13.5
1751625,5422375,5.83333333333333
1751875,5422375,253.502783014633
1752125,5422375,121.355485232067
1752375,5422375,227.264492753623
1752625,5422375,55.0183342063908
1752875,5422375,3.6144578313253
1743125,5422625,2.31884057971015
1746875,5422625,49.3457943925233
1747125,5422625,24.6728971962617
1748125,5422625,195.297553040197
1748375,5422625,329.457602572288
1748625,5422625,327.103640131589
1748875,5422625,211.517709891049
1749125,5422625,124.996647347988
1749375,5422625,71.2430897131965
1749625,5422625,117.435020519836
1749875,5422625,102.63609219747
1751875,5422625,69.3430007921497
1752125,5422625,363.801673210441
1752375,5422625,180.501672240803
1752625,5422625,52.0413426280372
1752875,5422625,48.7951807228916
1753125,5422625,9.03614457831325
1743125,5422875,2.31884057971015
1746375,5422875,2.05607476635514
1746875,5422875,67.8504672897196
1747125,5422875,20.4386801449552
1748125,5422875,210.600049603634
1748375,5422875,289.849813099448
1748625,5422875,320.908690985683
1748875,5422875,266.588685204243
1749125,5422875,185.002112506324
1749375,5422875,55.1720310765816
1749625,5422875,143.284002613801
1749875,5422875,180.28264128402
1750125,5422875,6.83544303797468
1751875,5422875,59.6988829528898
1752125,5422875,245.942886337051
1752375,5422875,199.023053829555
1752625,5422875,108.834418822977
1752875,5422875,14.4578313253012
1753125,5422875,18.8841078600115
1746375,5423125,2.05607476635514
1747125,5423125,10.2803738317757
1748125,5423125,69.0676883780332
1748375,5423125,335.71503558029
1748625,5423125,219.792014886813
1748875,5423125,47.1428571428572
1749125,5423125,52.2850828367027
1749375,5423125,79.0363881401617
1749625,5423125,116.565560066874
1749875,5423125,346.395254734382
1750125,5423125,285.295489281655
1750375,5423125,61.9047619047619
1751875,5423125,5.35211267605634
1752125,5423125,159.852372206307
1752375,5423125,166.316442239546
1752625,5423125,154.701280227596
1752875,5423125,77.9020827931899
1753125,5423125,83.3990147783251
1753375,5423125,98.1792717086835
1753625,5423125,113.566176470588
1753875,5423125,9.375
1744875,5423375,2.31884057971015
1747125,5423375,33.7998032464338
1747375,5423375,16.7164179104478
1747625,5423375,117.5
1748125,5423375,2.75862068965517
1748375,5423375,48.8458359760902
1748625,5423375,44.6808510638298
1749375,5423375,2.28070175438596
1749625,5423375,168.504594820384
1749875,5423375,216.666988323435
1750125,5423375,386.773258943889
1750375,5423375,388.97842897843
1750625,5423375,105.270655270655
1750875,5423375,2.5
1751625,5423375,5.07936507936508
1752125,5423375,68.6746987951807
1752375,5423375,226.255478236283
1752625,5423375,250.16943040212
1752875,5423375,175.97047137882
1753125,5423375,92.8363759296822
1753375,5423375,209.121148459384
1753625,5423375,213.689431913116
1753875,5423375,28.75
1744875,5423625,2.31884057971015
1747125,5423625,3.68421052631579
1747375,5423625,173.39552238806
1747625,5423625,176.169154228856
1747875,5423625,25.530303030303
1748375,5423625,51.4925373134328
1748625,5423625,243.790350572718
1749625,5423625,191.049973418395
1749875,5423625,262.107220428989
1750125,5423625,306.138330912844
1750375,5423625,302.457264957265
1750625,5423625,112.142857142857
1750875,5423625,21.25
1751125,5423625,51.9291666666667
1751375,5423625,50
1751625,5423625,236.422665190107
1751875,5423625,254.534692494357
1752125,5423625,248.269571281209
1752375,5423625,241.315418135186
1752625,5423625,260.539024647897
1752875,5423625,199.795822371139
1753125,5423625,135.88441890166
1753375,5423625,237.351364522417
1753625,5423625,255.166408668731
1753875,5423625,15.9722222222222
1743375,5423875,2.31884057971015
1747125,5423875,1.84210526315789
1747375,5423875,175.753428062883
1747625,5423875,255.459646566349
1747875,5423875,228.321322985957
1748125,5423875,9.73880597014925
1748375,5423875,271.269253404391
1748625,5423875,403.423663856076
1748875,5423875,563.346288123313
1749625,5423875,268.97496666484
1749875,5423875,290.52913958699
1750125,5423875,325.624731182796
1750375,5423875,223.969067135051
1750625,5423875,87.7257351027843
1750875,5423875,243.526573173129
1751125,5423875,144.4
1751375,5423875,111.395348837209
1751625,5423875,299.618863049095
1751875,5423875,270.9703249688
1752125,5423875,294.354146932211
1752375,5423875,253.391859852476
1752625,5423875,231.018070729487
1752875,5423875,161.550643031498
1753125,5423875,228.199166809336
1753375,5423875,202.446623093682
1753625,5423875,20.5882352941176
1742875,5424125,2.31884057971015
1747125,5424125,4.70588235294118
1747375,5424125,53.7794206847177
1747625,5424125,186.946226820416
1747875,5424125,256.563458779384
1748125,5424125,88.6794672202041
1748375,5424125,436.412838491296
1748625,5424125,618.59525508324
1748875,5424125,477.127145628495
1749125,5424125,26.3816878102592
1749625,5424125,77.5949367088608
1749875,5424125,229.882746354834
1750125,5424125,342.755038254217
1750375,5424125,379.038826729518
1750625,5424125,357.659856241693
1750875,5424125,325.200777287399
1751125,5424125,142.317647058824
1751375,5424125,74.2257515598412
1751625,5424125,251.407323375559
1751875,5424125,270.845673933909
1752125,5424125,313.4514821665
1752375,5424125,236.571987334699
1752625,5424125,127.450255592077
1752875,5424125,151.775091895855
1753125,5424125,171.734185800821
1753375,5424125,3
1744875,5424375,2.31884057971015
1747125,5424375,97.661406025825
1747375,5424375,64.6749226006192
1747625,5424375,220.438587473335
1747875,5424375,172.456747556768
1748125,5424375,49
1748375,5424375,28.7256205673759
1748625,5424375,282.494286570137
1748875,5424375,251.464688040074
1749125,5424375,780.460767901808
1749375,5424375,407.386159379829
1749625,5424375,82.4242424242425
1749875,5424375,246.753113618419
1750125,5424375,222.802863493943
1750375,5424375,165.15166539287
1750625,5424375,203.80839247247
1750875,5424375,108.949237689117
1751125,5424375,12.4705882352941
1751375,5424375,10
1751625,5424375,30
1751875,5424375,265.440167675462
1752125,5424375,235.070730478298
1752375,5424375,244.418831168831
1752625,5424375,191.698208450047
1752875,5424375,238.908144874706
1753125,5424375,16.697247706422
1745125,5424625,2.31884057971015
1747125,5424625,108.220946915352
1747375,5424625,89.3881148950808
1747625,5424625,80.1785105709867
1747875,5424625,167.426972199279
1748125,5424625,164.484092074293
1748375,5424625,4.09638554216868
1748625,5424625,181.098573459933
1748875,5424625,519.689319559717
1749125,5424625,467.580706643774
1749375,5424625,532.065527148652
1749625,5424625,198.175935828877
1749875,5424625,300.324275710824
1750125,5424625,118.766404702575
1750375,5424625,261.127819548872
1750625,5424625,94
1751875,5424625,138.012946331862
1752125,5424625,200.887826391537
1752375,5424625,121.271367521368
1752625,5424625,259.321869643136
1752875,5424625,181.483199588501
1741875,5424875,2.31884057971015
1745625,5424875,23.1884057971014
1747125,5424875,113.058823529412
1747375,5424875,75.5065359477125
1747625,5424875,154.346246973365
1747875,5424875,269.501956523545
1748125,5424875,220.917216910215
1748375,5424875,55.3012048192771
1748625,5424875,446.483975519111
1748875,5424875,671.730808661053
1749125,5424875,780.851093773606
1749375,5424875,631.922498530051
1749625,5424875,436.602589453861
1749875,5424875,254.90202020202
1750125,5424875,132.558080808081
1750375,5424875,6
1751625,5424875,22.343404568902
1751875,5424875,182.811782493856
1752125,5424875,317.110233995975
1752375,5424875,296.0646991897
1752625,5424875,251.306674080166
1752875,5424875,166.660563620196
1753125,5424875,60.9677419354839
1757625,5424875,3.80952380952381
1740875,5425125,2.38095238095238
1741125,5425125,2.31884057971015
1747125,5425125,218.605842336935
1747375,5425125,147.87193627451
1747625,5425125,176.722333861081
1747875,5425125,225.304962686035
1748125,5425125,282.369433948163
1748375,5425125,63.1944922547332
1748625,5425125,523.325057759408
1748875,5425125,685.351138190935
1749125,5425125,370.211095667134
1749375,5425125,541.109062422759
1749625,5425125,237.730154530578
1749875,5425125,161.590909090909
1750125,5425125,322.663335710293
1750375,5425125,164.673252467582
1751625,5425125,10.8695652173913
1751875,5425125,350.308269505755
1752125,5425125,345.794404967235
1752375,5425125,248.849400301013
1752625,5425125,245.842170249522
1752875,5425125,216.956082400488
1753125,5425125,107.176928613492
1757875,5425125,4.73118279569892
1741125,5425375,2.31884057971015
1744875,5425375,2.31884057971015
1746875,5425375,95.952380952381
1747125,5425375,153.625612482755
1747375,5425375,263.080050031269
1747625,5425375,238.688075194497
1747875,5425375,239.333136763478
1748125,5425375,128.010582010582
1748375,5425375,8.14285714285714
1748625,5425375,219.328100775194
1748875,5425375,206.573737373737
1749125,5425375,9.8993372514693
1749375,5425375,240.257959053486
1749625,5425375,48.6956521739131
1749875,5425375,14.4753086419753
1750125,5425375,267.458831887364
1750375,5425375,335.626883026111
1750625,5425375,2.28915662650602
1751875,5425375,98.0719092893006
1752125,5425375,307.662004662005
1752375,5425375,93.1216931216931
1752625,5425375,68.8001675068017
1752875,5425375,267.018622148405
1753125,5425375,141.407810380013
1753375,5425375,43.8765294771969
1757875,5425375,21.2903225806452
1742625,5425625,2.31884057971015
1742875,5425625,4.63768115942029
1746625,5425625,68.2769230769231
